#Renewable energy share in the total final energy consumption (%) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2000,0.19,No Data,0.18,No Data,No Data,14.32,34.55,0.46,1.05,27.88,No Data,69.87,No Data,34.43,0.07,11.06,19.11,50.06,10.5,91.24,29.75,80.85,9.37,55.85,26.64,2.34,19.57,20.42,3.045,No Data,No Data,0.6,No Data,66.38,24.05,59.69,54.73,1.52,0.33,No Data,55.26,8.49,23.63,No Data,No Data,2.48,0.76,0.45,No Data,48.65
2001,0.18,No Data,0.18,0.42,No Data,12.56,29.61,0.54,1.06,25.97,No Data,69.51,No Data,34.05,0.62,9.41,18.89,40.44,10.42,91.21,30.41,80.88,7.95,55.6,26.28,2.26,19.08,20.08,3.15,No Data,No Data,0.58,No Data,63.44,22.23,52.41,55.47,1.26,0.6,No Data,54.14,6.19,24.14,No Data,No Data,2.7,0.71,0.43,No Data,47.42
2002,0.19,No Data,0.18,0.38,No Data,11.3,31.19,0.51,1.03,25.98,No Data,70.31,No Data,34.8,0.59,13.6,17.94,48.98,10.46,91.04,33.73,79.08,8.07,49.11,24.59,1.78,18.63,17.93,3.385,No Data,No Data,0.63,No Data,62.49,21.73,49.58,55.34,1.1,0.58,No Data,52.82,6.07,27.79,48.25,No Data,2.48,0.69,0.38,No Data,51.92
2003,0.17,No Data,0.18,1.54,No Data,9.95,30.18,0.51,0.97,24.83,No Data,64.39,No Data,33.56,0.6,10.56,18.94,40.83,10.44,89.05,34.1,79.02,8.18,48.78,26.62,2.22,18.56,18.9,3.085,No Data,No Data,0.71,No Data,60.4,20.02,52.41,51.81,1.12,0.58,No Data,51.46,5.63,24.64,47.85,No Data,2.01,0.6,0.39,No Data,50.45
2004,0.14,No Data,0.19,1.59,No Data,9.93,32.02,0.52,0.94,25.59,No Data,63.52,No Data,33.77,0.59,11.56,20.67,35.72,10.56,88.55,35.05,81.11,6.4,46.99,22.22,1.67,18.4,19.08,3.16,No Data,No Data,0.79,No Data,57.48,18.43,48.82,48.92,0.96,0.53,No Data,49.91,5.86,22.63,44.04,No Data,2.15,0.6,0.39,No Data,64.06
2005,0.14,No Data,0.19,1.71,No Data,9.91,31.01,0.49,0.76,23.88,No Data,65.74,No Data,26.31,0.57,10.8,19.44,40.02,10.57,88.53,34.13,81.11,5.43,41.47,25.58,1.95,18.38,17.65,3.32,No Data,No Data,0.83,No Data,58.56,18.44,48.89,47.94,0.94,0.54,No Data,49.7,5.81,18.88,43.61,No Data,2.15,0.54,0.36,No Data,64.26
2006,0.12,No Data,0.19,2.01,No Data,9.9,36.8,0.44,0.72,21.8,No Data,61.81,No Data,21.96,0.56,9.88,17.98,39.07,10.36,88.29,36.28,81.37,4.82,39.45,0.01,1.59,16.96,16.41,3.34,No Data,0.07,24.01,No Data,58.86,16.94,45.96,47.33,0.95,0.52,No Data,48.93,5.29,22.09,41.9,No Data,1.86,0.55,0.35,No Data,63.75
2007,0.12,No Data,0.19,3.54,No Data,9.71,32.31,0.5,0.71,21.83,No Data,74.36,No Data,18.59,0.54,8.68,17.89,36.04,9.9,87.9,32.63,79.26,5.35,44.6,0.01,1.52,15.21,15.69,3.245,No Data,0.08,27.81,No Data,57.13,16.26,43.18,47.69,1.01,0.5,No Data,47.42,4.71,24.59,41.88,No Data,2.17,0.45,0.33,No Data,42.26
2008,0.12,No Data,0.19,1.97,No Data,8.63,34.06,0.46,0.71,23.81,No Data,73.44,No Data,18.73,0.47,8.45,17.68,40.89,10.69,88.42,32.03,79.64,5.99,41.53,0.01,1.53,14.78,12.73,3.11,No Data,0.08,18.21,No Data,56.93,15.53,44.87,46.04,0.91,0.53,No Data,46.69,5.33,26.19,39.72,No Data,1.99,0.46,0.33,No Data,47.63
2009,0.12,No Data,0.3,1.83,No Data,9.4,29.18,0.43,0.73,22.08,0.01,68.53,No Data,18.97,0.48,9.23,17.34,40.09,10.47,87.89,31.09,80.33,7.51,44.6,0.01,1.49,13.96,12.78,2.89,No Data,0.04,25.25,No Data,56.02,15.08,43.28,45.41,0.83,0.48,No Data,45.79,4.1,26.47,36.91,No Data,1.82,0.49,0.34,No Data,38.79
